Unix Timestamp, Local Time yyyy-mm-dd hh:mm:ss, Activity
1774984547373, 2026-03-31 12:15:47, sitting and chatting
1774985071016, 2026-03-31 12:24:31, stopped sitting and chatting
1774985100193, 2026-03-31 12:25:00, start walking
1774985964032, 2026-03-31 12:39:24, stop walking
1774985985482, 2026-03-31 12:39:45, enter light rail
1774986035578, 2026-03-31 12:40:35, sitting on light rail
1774986451769, 2026-03-31 12:47:31, end sitting
1774986475586, 2026-03-31 12:47:55, exited the light rail
1774986784274, 2026-03-31 12:53:04, start walking
1774986790571, 2026-03-31 12:53:10, start driving
1774988277624, 2026-03-31 13:17:57, stop driving
1774988367630, 2026-03-31 13:19:27, start walk on treadmill
1774988630389, 2026-03-31 13:23:50, stop walking
1774988649593, 2026-03-31 13:24:09, start running on treadmill
1774990382908, 2026-03-31 13:53:02, stopped running
1774990395232, 2026-03-31 13:53:15, start walking on treadmill on incline walk
1774990426549, 2026-03-31 13:53:46, start drinking water
1774990454368, 2026-03-31 13:54:14, stop drinking water
1774992147759, 2026-03-31 14:22:27, stop incline walk
1774992325502, 2026-03-31 14:25:25, start drive
1774995419819, 2026-03-31 15:16:59, stop drivign
1774995755265, 2026-03-31 15:22:35, start sit
1774996830854, 2026-03-31 15:40:30, stop sitting down
1774996837861, 2026-03-31 15:40:37, start laying on couch
1775002511495, 2026-03-31 17:15:11, stop sitting
1775005384512, 2026-03-31 18:03:04, start driving
1775005978887, 2026-03-31 18:12:58, listening /lip syncing to music
1775006833222, 2026-03-31 18:27:13, stop listening /lip syncing to music
1775006838457, 2026-03-31 18:27:18, stop driving
1775007039848, 2026-03-31 18:30:39, seated at restaurant table
1775008549944, 2026-03-31 18:55:49, start talking
1775008866724, 2026-03-31 19:01:06, start eating hot ramen soup
1775010609345, 2026-03-31 19:30:09, stopped eating ramen and sitting
1775010623100, 2026-03-31 19:30:23, started walking
1775010891329, 2026-03-31 19:34:51, stopped walking
1775010896672, 2026-03-31 19:34:56, started sitting
1775010907167, 2026-03-31 19:35:07, started eating a cinnamon roll
1775011257244, 2026-03-31 19:40:57, stopped sitting and eating
1775011554205, 2026-03-31 19:45:54, stop walking
1775011561348, 2026-03-31 19:46:01, start sitting
1775014556807, 2026-03-31 20:35:56, start driving
1775015612333, 2026-03-31 20:53:32, stop driving
1775015683423, 2026-03-31 20:54:43, stop sitting
1775015688740, 2026-03-31 20:54:48, start walking
1775015834990, 2026-03-31 20:57:14, stop walking
1775015843319, 2026-03-31 20:57:23, start sitting on couch
1775015873546, 2026-03-31 20:57:53, start drinking water
1775015894425, 2026-03-31 20:58:14, stop drinking water
1775015990919, 2026-03-31 20:59:50, starting chatting
1775016053284, 2026-03-31 21:00:53, start petting dog
1775016163356, 2026-03-31 21:02:43, stop petting dog
1775016812096, 2026-03-31 21:13:32, stop chatting
1775018404039, 2026-03-31 21:40:04, start drinking water
1775018464728, 2026-03-31 21:41:04, stop drinking water
1775018892472, 2026-03-31 21:48:12, start peeling tangerine
1775018956034, 2026-03-31 21:49:16, stop peeling tangerine
1775018966240, 2026-03-31 21:49:26, start eating tangerine
1775019004367, 2026-03-31 21:50:04, stop eating tangerine
1775019193296, 2026-03-31 21:53:13, start laying on couch
1775020398056, 2026-03-31 22:13:18, stop laying on couch
1775020412309, 2026-03-31 22:13:32, start walking
1775020426826, 2026-03-31 22:13:46, stop walking
1775020437836, 2026-03-31 22:13:57, start taking down hair out of ponytail
1775020489696, 2026-03-31 22:14:49, start messaging hair
1775020546515, 2026-03-31 22:15:46, stop messaging hair
1775020560820, 2026-03-31 22:16:00, start putting hair in loose bun
1775020596415, 2026-03-31 22:16:36, stop putting hair in loose bun
1775020623401, 2026-03-31 22:17:03, start changing into pajamas
1775020724228, 2026-03-31 22:18:44, stop putting on pajamas
1775020776250, 2026-03-31 22:19:36, start sitting in bed
1775020831220, 2026-03-31 22:20:31, start watching YouTube video
1775020851207, 2026-03-31 22:20:51, start working on laptop
1775038355080, 2026-04-01 03:12:35, stop watching YouTube
1775038363437, 2026-04-01 03:12:43, stop working on laptop
1775038440011, 2026-04-01 03:14:00, stop sitting in bed
1775069685274, 2026-04-01 11:54:45, start driving
1775069795176, 2026-04-01 11:56:35, start listening to music
1775071595583, 2026-04-01 12:26:35, stop driving
1775071657333, 2026-04-01 12:27:37, start walking
1775071805587, 2026-04-01 12:30:05, stop walking
1775071816074, 2026-04-01 12:30:16, start incline walk on treadmill
1775071852100, 2026-04-01 12:30:52, stop driving
1775071858280, 2026-04-01 12:30:58, stop listening to mysic
1775072424419, 2026-04-01 12:40:24, start watching youtube
1775073694415, 2026-04-01 13:01:34, start drinking water
1775073717728, 2026-04-01 13:01:57, stop drinking water
1775075526658, 2026-04-01 13:32:06, stop watching youtueb
1775075532107, 2026-04-01 13:32:12, stop incline walk
1775083539201, 2026-04-01 15:45:39, start sitting on couch
1775083546296, 2026-04-01 15:45:46, start working on laptop
1775086038009, 2026-04-01 16:27:18, start talking on facetime
1775087223688, 2026-04-01 16:47:03, stop talking on phone
1775087230323, 2026-04-01 16:47:10, stop sitting on couch
1775087234977, 2026-04-01 16:47:14, start walking
1775087263381, 2026-04-01 16:47:43, start warming up lunch
